file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,181,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,6
style.css,182,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,17
style.css,183,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,0
style.css,184,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,0
style.css,185,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,12
style.css,186,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,12
style.css,187,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,18
style.css,188,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,9
style.css,189,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,0
style.css,190,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,0
style.css,191,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,7
style.css,192,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,9
style.css,193,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,18
style.css,194,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,29
style.css,195,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,20
style.css,196,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,20
style.css,197,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,0
style.css,198,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,0
style.css,199,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,10
style.css,200,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,12
style.css,201,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,22
style.css,202,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,9
style.css,203,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,14
style.css,204,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,1,16
style.css,205,css,0295a6d0,tanishaiyer1,2025-10-30,11:05:23,-07:00,2025-10-30T11:05:23-07:00,0,0
style.css,206,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,0,0
style.css,207,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,0,17
style.css,208,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,1,16
style.css,209,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,2,11
style.css,210,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,1,0
style.css,211,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,0,0
style.css,212,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,0,0
style.css,213,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,0,4
style.css,214,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,1,16
style.css,215,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,1,14
style.css,216,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,0,0
style.css,217,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,0,0
style.css,218,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,0,9
style.css,219,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,1,35
style.css,220,css,9348277b,tanishaiyer1,2025-10-30,13:28:02,-07:00,2025-10-30T13:28:02-07:00,0,0
